,precision,recall,f1-score,support
0,0.8557692307692307,0.89,0.8725490196078431,100.0
1,0.78,0.7222222222222222,0.75,54.0
accuracy,0.8311688311688312,0.8311688311688312,0.8311688311688312,0.8311688311688312
macro avg,0.8178846153846153,0.8061111111111111,0.8112745098039216,154.0
weighted avg,0.8292007992007991,0.8311688311688312,0.8295772854596384,154.0
