,precision,recall,f1-score,support
0,0.8736842105263158,0.83,0.8512820512820513,100.0
1,0.711864406779661,0.7777777777777778,0.7433628318584071,54.0
accuracy,0.8116883116883117,0.8116883116883117,0.8116883116883117,0.8116883116883117
macro avg,0.7927743086529884,0.8038888888888889,0.7973224415702291,154.0
weighted avg,0.816942201420346,0.8116883116883117,0.8134402470685657,154.0
