,precision,recall,f1-score,support
0,0.8712871287128713,0.88,0.8756218905472637,100.0
1,0.7735849056603774,0.7592592592592593,0.7663551401869159,54.0
accuracy,0.8376623376623377,0.8376623376623377,0.8376623376623377,0.8376623376623377
macro avg,0.8224360171866243,0.8196296296296297,0.8209885153670897,154.0
weighted avg,0.8370279076425162,0.8376623376623377,0.837307575485843,154.0
