,precision,recall,f1-score,support
0,0.8333333333333334,0.85,0.8415841584158416,100.0
1,0.7115384615384616,0.6851851851851852,0.6981132075471698,54.0
accuracy,0.7922077922077922,0.7922077922077922,0.7922077922077922,0.7922077922077922
macro avg,0.7724358974358975,0.7675925925925926,0.7698486829815057,154.0
weighted avg,0.7906260406260408,0.7922077922077922,0.7912761626566969,154.0
